Time [s],Channel 0,Channel 1,Channel 2,Channel 3
1.276277000,1,1,0,1
1.276622800,1,1,1,1
1.276648900,0,1,1,1
1.277333500,0,1,1,0
1.277492800,0,1,1,1
1.277661100,0,1,1,0
1.278389900,0,1,1,1
1.278725500,0,1,1,0
1.279051000,0,1,0,0
1.279450000,0,0,0,0
1.279469700,0,0,1,0
1.279598800,1,0,1,0
1.281140700,0,0,1,0
1.281363300,0,0,0,0
1.281656600,0,1,0,0
1.281967600,0,1,0,1
1.283233600,0,0,0,1
1.283488300,0,0,0,0
1.283710100,1,0,0,0
1.283864200,1,0,0,1
1.284203700,1,1,0,1
1.284438200,1,1,1,1
1.284522000,0,1,1,1
1.284751100,0,0,1,1
1.286104200,0,1,1,1
1.286277800,0,1,0,1
1.286674500,0,1,1,1
1.286787400,1,1,1,1
1.286965900,1,0,1,1
1.287086200,1,0,1,0
1.287615100,1,1,1,0
1.288196100,1,1,0,0
1.288439600,1,1,1,0
1.288865900,1,1,0,0
1.289005800,1,1,0,1
1.289262800,0,1,0,1
1.290186500,0,0,0,1
1.291748200,0,0,0,0
1.291941400,0,0,1,0
1.292213500,0,1,1,0
1.292265000,1,1,1,0
1.293062600,1,1,1,1
1.294409100,1,1,0,1
1.294575800,0,1,0,1
1.295466400,0,0,0,1
1.295749100,0,0,0,0
1.296310700,0,0,1,0
1.296772400,0,0,0,0
1.297128300,0,0,0,1
1.297199400,0,0,0,0
1.297359600,0,0,1,0
1.297534900,1,0,1,0
1.297984900,1,0,0,0
1.298317400,1,1,0,0
1.298563000,1,1,1,0
1.298724400,1,1,1,1
1.298958100,0,1,1,1
1.301058900,0,0,1,1
1.301131600,0,0,0,1
1.301353500,0,1,0,1
1.301661300,0,1,0,0
1.301703600,0,0,0,0
1.301940200,0,0,1,0
1.302180000,1,0,1,0
1.302403800,0,0,1,0
1.302840600,1,0,1,0
1.303213700,0,0,1,0
1.304122100,0,0,1,1
1.304142300,0,0,0,1
1.304309900,1,0,0,1
1.304563300,1,0,1,1
1.304969500,1,1,1,1
1.305653900,0,1,1,1
1.306006700,0,0,1,1
1.306149400,0,0,1,0
1.306474100,0,0,1,1
1.307454900,1,0,1,1
1.307578900,1,1,1,1
1.307637500,1,1,0,1
1.308495200,1,1,0,0
1.308810600,1,0,0,0
1.309493300,0,0,0,0
1.310524100,0,0,0,1
1.310819400,0,0,1,1
1.311375000,0,0,0,1
1.311438900,1,0,0,1
1.311641000,1,1,0,1
1.311900400,1,1,0,0
1.312213000,0,1,0,0
1.313542500,1,1,0,0
1.313782900,1,0,0,0
1.313855800,1,0,0,1
1.314341700,1,0,1,1
1.316116400,1,1,1,1
1.316464300,0,1,1,1
1.316688900,0,1,1,0
1.316699500,0,1,0,0
1.316955600,0,0,0,0
1.317056600,0,1,0,0
1.318072000,0,1,0,1
