name,type,start_time,duration
"Test Analyzer","error",0.3963582,0.0001573
"Test Analyzer","error",0.3992482,0.0017731
"Test Analyzer","error",0.4035673,0.0003243
"Test Analyzer","enable",0.4049583,0.0000001
"Test Analyzer","disable",0.406962,0.0000001
"Test Analyzer","enable",0.4102185,0.0000001
"Test Analyzer","disable",0.4126453,0.0000001
"Test Analyzer","error",0.4152342,0.0022041
"Test Analyzer","enable",0.4204552,0.0000001
"Test Analyzer","disable",0.423598,0.0000001
"Test Analyzer","error",0.4252383,0.0024891
"Test Analyzer","enable",0.4281156,0.0000001
"Test Analyzer","disable",0.4291033,0.0000001
"Test Analyzer","error",0.4299408,0.00202
"Test Analyzer","enable",0.4324741,0.0000001
"Test Analyzer","disable",0.4336919,0.0000001
"Test Analyzer","enable",0.4367505,0.0000001
"Test Analyzer","disable",0.4371781,0.0000001
"Test Analyzer","error",0.439473,0.0022556
"Test Analyzer","enable",0.4444591,0.0000001
"Test Analyzer","disable",0.4461428,0.0000001
"Test Analyzer","error",0.4477253,0.0007982
"Test Analyzer","enable",0.4493188,0.0000001
"Test Analyzer","disable",0.4518962,0.0000001
"Test Analyzer","enable",0.4530929,0.0000001
"Test Analyzer","disable",0.4552212,0.0000001
"Test Analyzer","error",0.4552637,0.0024952
"Test Analyzer","enable",0.4582398,0.0000001
"Test Analyzer","disable",0.4595684,0.0000001
"Test Analyzer","enable",0.4624847,0.0000001
"Test Analyzer","disable",0.4634928,0.0000001
"Test Analyzer","error",0.4664829,0.0000107
"Test Analyzer","enable",0.4688033,0.0000001
"Test Analyzer","disable",0.4694154,0.0000001
"Test Analyzer","enable",0.4700196,0.0000001
"Test Analyzer","disable",0.4731672,0.0000001
"Test Analyzer","error",0.4753472,0.0006699
"Test Analyzer","error",0.4766318,0.0028278
"Test Analyzer","error",0.4827164,0.0003826
"Test Analyzer","error",0.4843969,0.0001991
"Test Analyzer","error",0.4864612,0.0014363
"Test Analyzer","error",0.4903628,0.000475
"Test Analyzer","enable",0.4910445,0.0000001
"Test Analyzer","disable",0.4941997,0.0000001
"Test Analyzer","error",0.495915,0.0024312
"Test Analyzer","error",0.5010242,0.0026697
"Test Analyzer","error",0.506208,0.0010967
"Test Analyzer","enable",0.5103676,0.0000001
"Test Analyzer","disable",0.5114128,0.0000001
"Test Analyzer","enable",0.5130513,0.0000001
"Test Analyzer","disable",0.5149504,0.0000001
"Test Analyzer","error",0.5159837,0.0024274
"Test Analyzer","error",0.5211554,0.0016161
"Test Analyzer","error",0.5236602,0.0010901
"Test Analyzer","error",0.5258485,0.0004883
"Test Analyzer","enable",0.526742,0.0000001
"Test Analyzer","disable",0.5273323,0.0000001
"Test Analyzer","enable",0.5304967,0.0000001
"Test Analyzer","disable",0.5335034,0.0000001
"Test Analyzer","error",0.5336902,0.0013529
"Test Analyzer","enable",0.5364177,0.0000001
"Test Analyzer","disable",0.5372406,0.0000001
"Test Analyzer","enable",0.5373937,0.0000001
"Test Analyzer","disable",0.5396896,0.0000001
"Test Analyzer","enable",0.5425635,0.0000001
"Test Analyzer","disable",0.5454216,0.0000001
"Test Analyzer","error",0.5486526,0.0001269
"Test Analyzer","error",0.5511295,0.0008454
"Test Analyzer","error",0.5527446,0.0002076
"Test Analyzer","error",0.5556487,0.0032085
"Test Analyzer","error",0.5615792,0.000288
"Test Analyzer","enable",0.5630775,0.0000001
"Test Analyzer","disable",0.5642896,0.0000001
"Test Analyzer","enable",0.56462,0.0000001
"Test Analyzer","disable",0.5673833,0.0000001
"Test Analyzer","enable",0.5695431,0.0000001
"Test Analyzer","disable",0.5709617,0.0000001
"Test Analyzer","enable",0.573632,0.0000001
"Test Analyzer","disable",0.576449,0.0000001
"Test Analyzer","error",0.5781741,0.0015499
"Test Analyzer","error",0.5816768,0.000213
"Test Analyzer","enable",0.5845055,0.0000001
"Test Analyzer","disable",0.5853251,0.0000001
"Test Analyzer","enable",0.5884293,0.0000001
"Test Analyzer","disable",0.5893328,0.0000001
"Test Analyzer","error",0.5894211,0.0016953
"Test Analyzer","error",0.5921926,0.002961
"Test Analyzer","error",0.5975169,0.0015514
"Test Analyzer","enable",0.6010318,0.0000001
"Test Analyzer","disable",0.6041402,0.0000001
"Test Analyzer","enable",0.6067717,0.0000001
"Test Analyzer","disable",0.6088079,0.0000001
"Test Analyzer","error",0.6107603,0.0016497
"Test Analyzer","enable",0.613659,0.0000001
"Test Analyzer","disable",0.6154583,0.0000001
"Test Analyzer","enable",0.6177026,0.0000001
"Test Analyzer","disable",0.6198955,0.0000001
"Test Analyzer","enable",0.6231423,0.0000001
"Test Analyzer","disable",0.6246415,0.0000001
"Test Analyzer","enable",0.6269194,0.0000001
"Test Analyzer","disable",0.6289698,0.0000001
"Test Analyzer","error",0.6292614,0.0026928
"Test Analyzer","enable",0.6321155,0.0000001
"Test Analyzer","disable",0.6343285,0.0000001
"Test Analyzer","error",0.6375966,0.003265
"Test Analyzer","error",0.6430363,0.0009197
"Test Analyzer","enable",0.6449929,0.0000001
"Test Analyzer","disable",0.6461867,0.0000001
"Test Analyzer","error",0.6481599,0.0024406
"Test Analyzer","enable",0.6531015,0.0000001
"Test Analyzer","disable",0.6542042,0.0000001
"Test Analyzer","error",0.6552235,0.0000748
"Test Analyzer","enable",0.6571722,0.0000001
"Test Analyzer","disable",0.6575659,0.0000001
"Test Analyzer","error",0.6605171,0.0022841
"Test Analyzer","enable",0.6647895,0.0000001
"Test Analyzer","disable",0.6679734,0.0000001
"Test Analyzer","error",0.6699771,0.002271
"Test Analyzer","error",0.6754659,0.0014686
"Test Analyzer","error",0.6777736,0.0006367
"Test Analyzer","enable",0.6790124,0.0000001
"Test Analyzer","disable",0.6804431,0.0000001
"Test Analyzer","error",0.6815706,0.0009373
"Test Analyzer","enable",0.6846072,0.0000001
"Test Analyzer","disable",0.6849704,0.0000001
"Test Analyzer","error",0.686058,0.002395
"Test Analyzer","enable",0.6903206,0.0000001
"Test Analyzer","disable",0.6934501,0.0000001
"Test Analyzer","enable",0.6959809,0.0000001
"Test Analyzer","disable",0.6969158,0.0000001
"Test Analyzer","enable",0.7000044,0.0000001
"Test Analyzer","disable",0.7031954,0.0000001
"Test Analyzer","error",0.7064124,0.0026378
"Test Analyzer","enable",0.7092121,0.0000001
"Test Analyzer","disable",0.7099837,0.0000001
"Test Analyzer","error",0.7104342,0.0007001
"Test Analyzer","error",0.7131537,0.0005023
"Test Analyzer","error",0.7165019,0.001566
"Test Analyzer","error",0.7195485,0.0012567
"Test Analyzer","enable",0.7216063,0.0000001
"Test Analyzer","disable",0.7224274,0.0000001
"Test Analyzer","error",0.7230903,0.0004567
"Test Analyzer","enable",0.7253701,0.0000001
"Test Analyzer","disable",0.7272779,0.0000001
"Test Analyzer","enable",0.7296262,0.0000001
"Test Analyzer","disable",0.7320161,0.0000001
"Test Analyzer","error",0.7320651,0.0001849
"Test Analyzer","enable",0.733773,0.0000001
"Test Analyzer","disable",0.7340377,0.0000001
"Test Analyzer","enable",0.7356436,0.0000001
"Test Analyzer","disable",0.7388193,0.0000001
"Test Analyzer","error",0.7391784,0.0006629
"Test Analyzer","enable",0.7410468,0.0000001
"Test Analyzer","disable",0.7440675,0.0000001
"Test Analyzer","error",0.746569,0.0023923
"Test Analyzer","error",0.7489786,0.0021776
"Test Analyzer","enable",0.7537579,0.0000001
"Test Analyzer","disable",0.7568176,0.0000001
"Test Analyzer","error",0.7574739,0.0025817
"Test Analyzer","error",0.763247,0.0022246
"Test Analyzer","enable",0.7686361,0.0000001
"Test Analyzer","disable",0.7715079,0.0000001
"Test Analyzer","enable",0.7728102,0.0000001
"Test Analyzer","disable",0.7756858,0.0000001
"Test Analyzer","error",0.7785637,0.0007604
"Test Analyzer","error",0.7798941,0.0011383
"Test Analyzer","enable",0.7826874,0.0000001
"Test Analyzer","disable",0.7855211,0.0000001
"Test Analyzer","enable",0.7862174,0.0000001
"Test Analyzer","disable",0.7874072,0.0000001
