FS, Input, SNDR
0.025,0.04,3.3370133608151153
0.03,0.004,26.397657441363997
0.03,0.005,28.61154291472415
0.03,0.0077777777777777776,32.36309330502631
0.03,0.010555555555555554,35.17655577965753
0.03,0.013000000000000001,34.262138471799624
0.03,0.013333333333333332,34.797485739708904
0.03,0.01611111111111111,37.021623896851764
0.03,0.01888888888888889,38.5846039205433
0.03,0.021666666666666664,39.50241621342846
0.03,0.022000000000000002,39.74011003373048
0.03,0.024444444444444442,40.856035301346196
0.03,0.02722222222222222,41.58235395893658
0.03,0.03,40.26168029165133
0.03,0.031000000000000003,39.020918598045206
0.03,0.033,25.817889278324397
0.03,0.04,14.749958852768735
0.035,0.004,4.683900541726879
0.035,0.005,28.20759589339779
0.035,0.008333333333333333,32.88858871534862
0.035,0.011666666666666667,36.01081978363738
0.035,0.013000000000000001,36.907759649607016
0.035,0.015,36.14290044499252
0.035,0.018333333333333333,38.75896022284373
0.035,0.021666666666666667,40.056449824188476
0.035,0.022000000000000002,40.13195073450405
0.035,0.025,40.88093703750161
0.035,0.028333333333333335,42.26361911124167
0.035,0.031000000000000003,42.866975195966006
0.035,0.03166666666666667,43.05743921834878
0.035,0.035,41.383376313414466
0.035,0.038500000000000006,25.731481849014365
0.035,0.04,22.07615905337797
0.04,0.004,26.892258405713022
0.04,0.005,28.379872941354293
0.04,0.008888888888888889,33.59630525346506
0.04,0.012777777777777779,36.790261435313646
0.04,0.013000000000000001,36.922159457340214
0.04,0.016666666666666666,36.02188488501588
0.04,0.020555555555555556,39.77603319175548
0.04,0.022000000000000002,40.606025033883704
0.04,0.024444444444444446,41.26205697407852
0.04,0.028333333333333335,42.45080141358082
0.04,0.031000000000000003,43.28916322924777
0.04,0.03222222222222222,43.664060144355105
0.04,0.036111111111111115,44.35930985107507
0.04,0.04,42.840214143621964
0.04,0.04,42.840214143621964
0.04,0.044000000000000004,26.107361988837333
0.045,0.004,27.167260276856517
0.045,0.005,29.09183212841368
0.045,0.009444444444444445,34.57544140863342
0.045,0.013000000000000001,37.25930523359033
0.045,0.013888888888888888,37.93276652816183
0.045,0.018333333333333333,39.9979316459995
0.045,0.022000000000000002,40.69587164029364
0.045,0.02277777777777778,41.239014172775306
0.045,0.027222222222222224,4.722573048248654
0.045,0.031000000000000003,43.73843014745391
0.045,0.03166666666666666,43.88176140902892
0.045,0.03611111111111111,44.89004821516196
0.045,0.04,45.58376931537019
0.045,0.04055555555555555,45.76279589389021
0.045,0.045,44.0281318730461
0.045,0.0495,25.732011549022097
0.05,0.004,27.668163413123267
0.05,0.005,29.563130931066752
0.05,0.010000000000000002,35.33166876579205
0.05,0.013000000000000001,37.49228743386014
0.05,0.015000000000000003,39.04213759231073
0.05,0.020000000000000004,41.472187096865234
0.05,0.022000000000000002,40.97020698568454
0.05,0.025000000000000005,42.381798032860914
0.05,0.030000000000000006,44.204424544407175
0.05,0.031000000000000003,44.353985644795486
0.05,0.035,45.3122953517351
0.05,0.04,46.32089262818426
0.05,0.04,46.32089262818426
0.05,0.045000000000000005,47.22066931710178
0.05,0.05,45.73072705129297
0.05,0.05500000000000001,26.462107710235298
0.06,0.004,27.778444646415682
0.06,0.005,29.640302709165947
0.06,0.011111111111111112,36.328630440728716
0.06,0.013000000000000001,37.62636775701608
0.06,0.017222222222222222,40.037679148816835
0.06,0.022000000000000002,42.078029793936544
0.06,0.023333333333333334,42.66488364477506
0.06,0.029444444444444447,43.77761158500106
