FS, Input, SNDR
0.12,0.030555555555555555,42.39443545140276
0.12,0.031000000000000003,42.66806203362491
0.12,0.04,44.85281726453835
0.12,0.04333333333333333,45.543168870955036
0.12,0.056111111111111105,47.55818070599338
0.12,0.06888888888888889,48.71417792655804
0.12,0.08166666666666667,50.17934463639624
0.12,0.09444444444444444,51.392399065546066
0.12,0.10722222222222222,52.396355411962894
0.12,0.12,52.238927841039455
0.12,0.132,24.523523618002507
0.14,0.004,24.670193521101528
0.14,0.005,26.968660395897043
0.14,0.013000000000000001,4.713287702934432
0.14,0.02,38.65014473008035
0.14,0.022000000000000002,39.40023694222022
0.14,0.031000000000000003,42.13982716392422
0.14,0.035,42.91508191917342
0.14,0.04,44.01343871303963
0.14,0.05,45.95726079022625
0.14,0.065,47.961207033128154
0.14,0.08000000000000002,49.46706185628947
0.14,0.09500000000000001,50.71157389221925
0.14,0.11000000000000001,51.92635334421026
0.14,0.125,52.929197412522484
0.14,0.14,53.16846412031897
0.14,0.15400000000000003,24.778415623027833
0.16,0.004,23.484707886782022
0.16,0.005,25.661164741575675
0.16,0.013000000000000001,34.06500824818481
0.16,0.022000000000000002,38.209861334211546
0.16,0.022222222222222223,38.38640278280886
0.16,0.031000000000000003,41.27932939308495
0.16,0.03944444444444444,43.17708345102293
0.16,0.04,43.024803242671794
0.16,0.056666666666666664,46.240678604856924
0.16,0.07388888888888889,48.483542477105914
0.16,0.09111111111111111,49.598641477950636
0.16,0.10833333333333334,51.08828856027873
0.16,0.12555555555555556,52.08966140265333
0.16,0.14277777777777778,53.30438304064511
0.16,0.16,52.50811686117654
0.16,0.17600000000000002,24.62133994814711
0.18,0.004,23.03081827515738
0.18,0.005,25.65083562074298
0.18,0.013000000000000001,33.66133912746632
0.18,0.022000000000000002,37.674918481529566
0.18,0.024444444444444446,38.95845974424004
0.18,0.031000000000000003,40.84603188539435
0.18,0.04,42.7608977846178
0.18,0.04388888888888889,43.74492836567117
0.18,0.06333333333333334,46.82934311305483
0.18,0.08277777777777778,48.959001177650336
0.18,0.10222222222222223,49.83242389476533
0.18,0.12166666666666667,51.48020069327809
0.18,0.14111111111111113,52.55125332926063
0.18,0.16055555555555556,53.29395184865092
0.18,0.18,46.587622190389524
0.18,0.198,25.097727991657166
0.2,0.004,22.70060867105258
0.2,0.005,24.989419731971374
0.2,0.013000000000000001,32.68883035090849
0.2,0.022000000000000002,37.00011835516375
0.2,0.02666666666666667,38.96715672573721
0.2,0.031000000000000003,40.334185750628144
0.2,0.04,42.410351414945566
0.2,0.04833333333333333,43.897115438548504
0.2,0.07,47.018534770191565
0.2,0.09166666666666667,49.206836628583915
0.2,0.11333333333333334,49.779713098631895
0.2,0.135,51.322705250526084
0.2,0.15666666666666668,52.06090566512991
0.2,0.17833333333333334,47.119344599725295
0.2,0.2,39.36930129302691
0.2,0.22000000000000003,25.388620255797537
FS, Input, SNDR
